|text|score
28|"Был очень разочарован данной книгой. Такое ощущение что ""Правила подводной охоты"" и ""Жесткий страрт"" писали разные люди. Плоский, невыразительный язык. Картонные герои. Совершенно не понравилось."|3
29|"Да! Я сделал это! Я дочитал, я смог! Плохо, что гордиться нечем, скорее надо пожалеть о тех непрочитанных хороших книгах и несделанных полезных делах, время на которые сожрал Быковский фолиант. Мой диагноз: Быков - графоман. В хорошем смысле этого слова, если такой есть. Он - ""мастер слова"", а возможно даже и мастер предложения, но вот произведение из этих слов и предложений вышло длинное и несуразное. До этого я осилил только ""Эвакуатора"", со страниц которого автор донёс до меня своё, как теперь ясно, пардон, онтологическое ощущение того, что мир вокруг него рушится, силы его солипсизма хватает лишь на поддержание ближайших к нему окрестностей, а всё что дальше не просто не существует, а окутано дымом перманентного разрушения. Ну а поскольку автор проживает сейчас в США, то он дымом разрушения окутал свою бывшую родину и родину историческую. Образы, привидевшиеся автору в этом дыму, он и описал в книжке ""ЖД"". Первая глава была настолько возмутительна своим содержанием, что если бы автор сохранил темп и направление до конца, то писал бы я сразу по сути - о евреях (автор хитро нашёл великолепный эвфемизм этому почти табуированному слову - ""хазары"", ведь текст, в котором бы многие сотни раз повторялось бы ""еврей"", ""еврейский"", ""Израиль"" невыносимо тяжёл, тому для меня недавнее подтверждение - сборник статей о.Кураева ""Как делают антисемитом""). Однако автор (еврей, этого никак не стоит забывать), в первой главе крепко накостыляв общности тех, кого он называет варяги, а обычные люди назвали бы Российской армией, государством, РПЦ, в дальнейших старается поддерживать баланс и отвешивает меткие оплеухи и ""хазарам"" и ""варягам"" (евреям и русским). Посетовать на незаслуженность так сказать ""критики"" я не могу, но меня не покинуло ощущение, что ""варягам"" досталось не в пример круче. Вроде как, у евреев не было возможности развернуться и наделать делов, за которые их можно смешивать с грязью, разве что арабов треплют, но это типа простительно. Не соблюл автор баланса, а в этот момент стоит вспомнить о его национальности и задуматься, что ж это он себе позволяет, сидя в явно в не ""бесприютном"" Арканзасе?"|3
30|ужасная нудятина, пустая, как коробка от кильки в томатном соусе|3
31|"Можно искренне посочувствовать родителям девочек-подростков, в чьи руки попадёт эта книжка. С другой стороны, не на них ли она и рассчитана? Тогда зачем столько мата и грязи? Мне не понравилось, я не понял, зачем написано, какова, собственно, ""мораль"" и ""месидж"". Повествование основано на диалогах главных героинь, естественных как юмор ""Comedy Club"". То есть, и с литературной, и с идеологической точки зрения, ценность невелика. Однако больше всего зацепило мужененавистничество, которое, возможно, объяснимо сексуальной ориентацией автора. В книге нет положительных героев мужского пола, лишь садисты и пентюхи. Не измазаны лишь мертвецы и дети. Вроде как мужчина терпим только ребёнком или трупом."|3
32|Тягомо-о-о-тина-а-а-а! Скукот-и-и-и-щ-а-а!|3
33|"Лучше не читать! Одри Хепберн, оказывается, играла обычную проститутку! ""11 мужчин, не считая тех, что были до 13 лет..."" И эта ""девушка"" прекрасна и наивна?!!"|3
34|"В рассказе приведено несколько примеров несчастных случаев, произошедших с мальчиками-подростками в то время, как они ананировали нетрадиционными способами. Видимо, автор так обыграл тему: ""Прежде чем что-то делать, подумай, чем это может закончиться"". Читать достаточно противно (ИМХО). Людям с ярким воображением категорически не рекомендую. Люди с медицинским образованием перенесут прочтение достаточно спокойно, но удовольствия не получат. На работников ""Скорой помощи"", скорее всего, рассказ вообще впечатления не произведёт."|3
35|- В жизни, как в плохой книге, важны только начало и конец, - цитата из этой книги. То-то я прочитала только первые две и последние две страницы...|3
36|Мрачный , неинтересный сюжет. Где платовский юмор?|3
37|Слишком предсказуем сюжет.|3
38|Захватывает композиция, которя заставляет быть в постоянном напряжении. сам сюжет открывается на последних страницах, поэтому книга пролетает незаметно, мгоновенно..По-моему вся философия которую внес автор прошла мимо меня. Мне даже показалось, что её совсем не было или она была размазана по всей книге..Я не люблю незаконченных книг, а это одна из них..|3
39|Удивительно, но сколько не читала и перечитывала его книги ни одна не отпечатывается в моем мозгу Безусловно пишет хорошо интересно, но..тяжело. Единственная (почти) книга в домашней библиотеке, которую я читаю, когда нечем заняться.|3
40|Мусорная книга, совсем не согласна с рецензией. Где там психологическая обнаженность? Вот на это и купилась..жаль потраченного времени|3
41|А вот мне совсем не понравилось, после этой книги вообще ничего не хотела читать из их творчества. Хорошо, что не сдержала своего обещания))|3
42|"Дететив и этим все сказано, прочитала практически всю книгу, а кроме диалогов типа: ""А он мне, А я ему, А тебе-то что"" не увидела...Скучно, паршиво, не интересно"|3
43|Как автор-новатор он молодец, но сама книга не понравилась|3
44|Не понравилось совершенно. Вообще во всех произведениях Татьяны Толстой есть что-то такое, что оставляет на душе какое-то неприятное впечатление, словно вместо литературного произведения подсунули дешевую бульварную литературу. Такое ощущение, будто автор не уважает своих читателей.|3
45|начал читать с интересом, ряд промелькнувших мыслей даже совпал с моими собственными, и по всей видимости на этом автор просто иссяк. через 20 страниц последовала попытка оживить сюжет детективной ноткой(причем абсолютно предсказуемой), а затем последовали 200 страниц нуднейшего занудства с претензией на философичность. ИМХО прочитать по диагонали, чтобы иметь представление.|3
46|"однажды я сказала себе, что Паланика больше читать не буду. Но как говорят не зарекайся. Прочитала на форуме,что это стоящая книга и...да, решила прочитать. осталась не в восторге, хотя как в общем и всегда нашла кое-что полезное: корочь есть одна гипотеза о новой болезни, называется сексоголизм, когда постоянно хочется и надо. Это связано с тем, что секс-зависимые люди подсаживаются на гармоны, которые вырабатываются в организме под действием постоянного секса. При оргазме в гипотоламической области головного мозга вырабатываются эндорфины, белковые гормоны, которые снимают боль и денйствуют как естественные транквилизаторы. На самом деле сексоголикам нужен не секс- им нужны эндорфины. им нужен пептид фенилэтиламин, который вырабатывается в моменты опасности, страстной влюбленности, риска и страха.. вопрос, на сколько этому можно верить? и опять, видимо через все его творчество проходит тема скучного, песиимистического мира: ""люди стараются превратить мир в безопасное, организованное место. Но никто не понимает, как здесь тоскливо и скучно, когда весь мир уопрядочен, поделен на квадратики, когда скорость движения везде ограничена и все делают то, что положено. когда каждый проверен, зарегестрировани и одобрен. в мире уже не осталось места для настоящего приключения и истинного волнения. разве что для такого, которое можно купит за деньги. на американских гонках или в кино. но это волнение все равно искуственное. вы заранее знаете, что конец будет счастливым в мире не соталось места для настоящего бедствия риска, а значит и для спасения, восторгов, радостей, для истинного неподдельного возбуждения, новых открытий, новых изобретений"" ""Законы дают нам относительную безопасность, но и они же обрекают нас к скуке. Без доступа к хаосу, не может быть порядка"" Блин, эту тему можно запросто перепечатывать из книги. Там верно каждое слово. Ну согласись, что наша жизнь действительно уже похожа на исправительный лагерь, чистый и безопасный. Мы действительно растим поколение рабов. Детей, которые ничего не умеют и их ничему полезному не учат. ни в школе ни в институте. они выходят в мир беспомощными и элементарно не знают как реагировать в экстранных ситуациях"|3
47|Убого. Это не Литература, это фэнтези в наихудшем понимании этого слова.|3
48|"То ли я далёк от специфики военной фантастики, то ли ""недорос"". Я вообще не знаю, как можно читать этот бред. Написано убого, герои шаблонные. И, главное, людям-то вроде как нравится. Грустно."|3
49|там еще и шахматная задача неправильно решена.|3
50|"Прочитала половину. Не осилила! Старалась честно, но, воспитывая ребенка, имеешь в арсенале не так много свободного времени, чтобы тратить его на ""галочку"" в списке прочитанных ""нетленок""... А может, я ещё не доросла..."|3
51|"Мне, имеющему высшее физическое образование, при прочтении подобного бреда становилось крайне тоскливо. Автор где-то услышал про Большой взрыв, взял свое представление о нем (с наукой ничего общего не имеющего), напялил его на детективный сюжет, добавил немного мистики и истории и получил ""бестселлер"". Вообще я Брауна читал в обратном порядке: Код да Винчи, Точка обмана, Ангелы и демоны. Общий вывод таков: автор умеет писать хороший ширпотреб, но не разбирается глубоко в сути того, о чем пишет и разнообразием приемов не блещет. Во второй (по порядку прочтения) книге были все те-же приемы. А в третьей я практически знал что будет происходить и как это будет обставляться автором. Читать его больше не буду и рекомендовать друзьям тоже. Хотел было почитать Цифровую крепость, но мне сказали, что как программисту, мне без истерики подобное читать будет невозможно :)"|3
52|"Вообще тупо. Но если надо настроить себя на состояние ""а я без мозгов"" - подходит. Так что: использовать при необходимости."|3
53|"Начитавшись многочисленных од и похвал ""на зубную фею"" в интернете, я купила книгу и начала читать. Ну вот кто мне скажите пишет про то что она просто супер? Или все как попугаи копируют рецензии предшевственников лишь чуть изменяя слова? Книга просто полная лажа, еле дочитала. Вот Вы мне скажите ее в каком возрасте читать? В 12, когда сказки еще как-то катят (и то не у всех) читать про фею-толи гермафродита, толи трансвестита, да еще и с маленьким маотчиком....это уже простите педофилией попахивает. Книга очень разочаровал и соответственно не оправдала потраченных на нее 400 рубликов. Люди прежде чем ее покупать откройте посередине и почитайте выборочно несколько страниц, ИМХО это гадость все-же для извращенных умов."|3
54|мерзкая книжонка!м на сквозь пропитанная эгоцентризмом. самолюбованием! надеюсь другие произведения этого автора лучше буду!|3
55|Или хирургия, или богословие. Попытка совместить не удалась. От этого автора ожидала большего.|3
56|Я очень люблю творчество Паланика, но эта книга - это не произведение это набор рассказов. Впервые я не смогла книгу этого автора дочитать до конца, думаю ему не стоило эти зарисовки издавать как отдельный подукт. Но это, собственно говоря, только мое мнение|3
57|Мне не понравилось. Язык - псевдосказочный, вязкий. Не читаешь, а пробираешься через бурьян. Нужно много терпения, чтобы понять, что хотел сказать автор. Видимо, в этом больше самолюбования автора, чем литературы и желания донести что-то до читателя.|3
58|Такую книжку только на ночь читать. Чтоб быстрее уснуть. Далеко не Хокинг... Ниасилил.|3
59|"Пособие для ""представителей канадских компаний"""|3
60|"Автор страдает жесткими формами извращений. Идея созданий ""идеального общества"" для ""не таких как все"" не нова. Форма подачи не слишком плоха. Но автор определенно маньяк. Такую плотность сексуальных и моральных извращений на страницу как в этом поизведении я еще не встречала. Интересно, что стимулировало вдохновение автора при описании пыток..."|3
61|Удивительное произведение... Перечитал три раза, пока не понял, почему оно мне показалось таким пустым: Птица, на самом делее, стремится к абсолютному идеальному одиночеству обернув свое желание в сверкающие покровы.|3
62|"Книга-чушь, как и все, что пишет этот человек. Мне с пеной у рта советовали почитать его книги - ""глубокие философские произведения"" - глубины никакой. Мысль есть, но, одним словом, - попс."|3
63|Слишком популярно. Много цитат но мало интересных идей и фактов.|3
64|Довольно забавно читать книгу, зная что это не первая и не последняя Единственная в жизни автора :)|3
65|Есть 2 перевода- этот и Эксмовский К оружию! К оружию! Этот - ниже плинтуса (осилил страниц 5). От эксмы - одна из любимых и периодически перечитываемых(как и вся серия про стражу).(Как и весь пратчетт):))))|3
66|"Одно из самых скучных и затянутых произведений. Это в полной мере относится и к другим произведениям из книги ""Древо исчезающих времен"". Весь сюжет: неизвестные агрессоры, доблестные герои, их боевые подруги, мультивселенная.... Еще автор видимо заботился о философской составляющей книги и ""понавтыкал"" различных цитат на каждую страницу. Смотрится это, мягко говоря, странно и не к месту... Однозначно фтопку."|3
67|Язык, насколько смог его передать переводчик - очень неплох. Но вот сам сюжет настолько искусственный, что читал книгу с трудом, преодолевая колдобины и ухабы. В общем, книга ради денег. С искусно вкрапленными элементами, призванными привлечь читателей. И побольше, и побольше. Единственное, что меня заинтересовало - описания пейзажей и природы Греции. Автору натуралистом бы быть, а не писателем, претендующим на роль властителя помыслов человеческих. Для извращённых протестантов-наглосаксов эта книга может и иметь какую-либо ценность. На территории России такие экперименты просто противопоказаны человеку, который хочет жить здесь, у нас, долго и счастливо. Выбирать - вам. И просто представьте себе такую ситуацию где-либо в нашей стране. Смешно стало? То-то же. Плохая фантастика, в общем-то.|3
68|Так себе|3
69|Познавально, лишний раз убеждаешься, что все болезни только в голове. Рассказ мне не понравился, много лишней информации, абсолютно не притягивающей.|3
70|Скучно|3
71|Давит на психику|3
72|"Книга не понравилась. После ""Азазель"" осталось огромное желание знакомиться и дальше с творчеством Акунина, но ""Турецкий гамбит"" это желание ""приостановил"". Хотя мало с чем могу сравнить, потому что знакома с творчеством Акунина не глубоко. Фильм тоже не понравился. Но в памяти осталось одно прекрасное воспоминание: песня Покровского к этому фильму :)"|3
73|для взрослых - банально, для детей - непонятно и скучно. Когда-то решили, что гениально...|3
74|Если столько фактических несовпадений, что всякое доверие к автору пропадает сразу. А вообще завлекать он, конечно, умеет. Бросает фразы и не особобенно парится с доказательствами.|3
75|"Интересно, я одна такая в своей нелюбви к Достоевскому? Его произведения - это просто потуги на психологию, которые на самом деле представляют собой только пафос и убогую сентиментальность из бульварных романов. И все это безобразие с моралью! ""Преступление и наказание"" - яркий пример всему вышесказанному."|3
76|Да уж, прочитал весь мир звонка, общее впечатление: Звонок - мистика, ужасы. Звонок-2 - триллер. Звонок-3 - триллер с учебным пособием по медицине. Звонок-0 - любовный роман. Зашибись переходы у этого Судзуки. Общее впечатление о мире звонка - неочень.|3
77|"Нет, ну все понимаю, язык хороший, стиль свой... Но три дня отходила после прочтения, такой депресс. Тем не менее ""2017"" найду - прочту."|3
78|Книга не заслуживает такого внимания, которое ей оказано! Я зря потратил время, прочитав ее...|3
79|Боже, какая нудятина!Тоска смертная.|3
80|Слишком плоско, для погружения мало места.|3
81|Ну что-же, фанатов вышеупомянутых авторов ничто не остановит, а нормальным людям рекомендую читать не отрывки из произведений, многие из которых оставляют неприятное чувство недосказанности, а сами книги. А вообще-то ВСЕ вещи, включенные в книгу, кажутся сделанными по общей кальке с немногими вариациями. Герой обычно женщина, пока ещё не хромой американский негр с уклоном в голубизну. Периодически она должна вступать в единоборства, желательно с противоположным полом и непременно побеждать. Также обязателен непритязательный юмор и непременная победа т.н. добра по американски. Великие озёра крови в отрывках, очевидно, обязательно трансформируются в моря в полных текстах. Возможно, тот факт, что в этой книге приведены как раз отрывки, даёт это всё отметить с большей отчётливостью. Мозг не устаёт от долгого чтения. Короче, пора бросать читать эту жвачку для кокосов - она имеет чисто нацональное направление - оправдать существование их общества на принципах - кто украл, тот и прав. В каждом произведении герой ОБЯЗАТЕЛЬНО обладаетель некоего умения, которое появилось у него не за что-то, а просто так, по праву рождения, или там за красивые глазки. В наших сказках такие - на местах Емель-Иванушек - дурачков и иже с ними. У них в новых сказках - это благородные герои, которые ВСЕГДА оправдывают выбор бога. Подтекст нехитрый - выдающаяся личность (читай - богатая в реалиях их, а теперь и нашей, жизни) - и есть тот, кого надо слушать, обожествлять, надеяться и ни в коем случае не подвергать сомнению. Отдельного мнения заслуживает труд переводчиков - вот к нему претензий нет. Переведено ОЧЕНЬ хорошо. Даже возникло ощущение, что переводы ЛУЧШЕ оригиналов, уж очень они близки по качеству и читать их приятно. Засим прощаюсь. Удачи. PS. Кстати, сама Лэки Мерседес вполне соответсвует канве вышеизложенного. Её герольды имеют некий дар от рождения, но используют его, естественно, в благородных целях. В прочих - НИ-НИ.|3
