|text|tensor|score
10|Пока я пытался читать это произведение, где-то сбоку моих скрипящих мозгов прыгала мысль, пыталась сформулироваться, что же это такое. И, только вот теперь я её ухватил и понял - это немного беллитризированных живой журнал. Смесь чьих-то воспоминаний, научно популярной физики (ну оччень популярной), философии. К литературе в моём понимании я это отнести не могу, не хватает основных компонент: сюжет, фабула, герои, наконец. В общем, книга вполне точно описывается названием - элементарные частицы. Люди, как элементарные частицы, носятся туда-сюда, с ними что-то происходит, они появляются-исчезают. Но так же, как с элементарными частицами, нет никакого единого стержня, всё абсолютно случайно. _Так что, если вы есть желание почитать нечто (мега-ЖЖ?), от чего можно оттолкнуться и уйти в свои мысли, то эта книга самое оно. Если же хочется литературы в классическом понимании - право, даже Иллиада и та намного динамичнее, связанней и легче в осознании ;)_ P.S. Видимо, некий пласт современной литературы явно не для меня - Миллер, Воннегут, теперь вот ещё и Уэльбек.|[-7.8612123 -9.653694  -9.257731  ... -7.422358  -4.750025  -6.780052 ]|3
11|Нескромно:взять себе роль не менее, чем апостола Миссии в братстве с Биллом Гейтсом. На мой взгляд, едко и отсутствие должного уважения в рассуждениях о религии, Боге и т.д.Еле прочитала...|[-8.64156   -7.574013  -8.379884  ... -4.9771214 -5.2825193 -6.278516 ]|3
12|Дико раздражает стиль повествования. Дочитал, только ради того, чтобы знать чем закончится.|[-7.5563416 -7.9992957 -8.403226  ... -9.111757  -4.53378   -5.3305864]|3
13|Я бы рекомендрвала читать смазливым и прыщавым подросткам во время переходного возраста. Грязно, склизско и никаких приятных ощущений от секеса в России! ..хоть за иностранца выходи..!!|[-7.1426163 -7.647078  -7.6742864 ... -8.1027775 -2.7764432 -7.2446074]|3
14|"Любопытно, я человек поколения 70-х, но мировоззрение ни разу не рядом с тем, о чем пишет Минаев. Музыкальным пристрастиям суждено совпасть, но не более. Нас больше, мы совсем другие. Книга напоминает монолог обиженного циника, который противен сам себе, и упивается собственной персоной. Ни юмора, ни наблюдательности, ни гибкости мышления, ни трезвости взгляда. Сочинение из серии ""Как я провел лето/отпуск/рабочую неделю"". Автору - пора идти в люди, по методу Горького. Если поможет. Читать - психологическим мазохистам, остальные зря потратят время."|[-7.4917607 -8.964676  -9.476568  ... -8.793775  -5.5137362 -4.988725 ]|3
15|М-да, аля Космополитен торжествует. Обыкновенный образ гламурной девушки, к которой стараются приобщится современне женщины...|[-6.8683295 -7.269431  -6.7917714 ... -7.7367787 -3.8098843 -5.982284 ]|3
16|Рекомендация: не тратить деньги на покупку этой книги.|[-7.1006656 -8.647763  -9.181147  ... -9.288057  -6.510632  -8.470864 ]|3
17|Мне, сисадмину, отвечающему за безопасность сети и информации, книжка показалась слишком наивной. Если бы не алгоритм шифрования с помощью колоды карт (собственно, из-за него и стал читать случайно обнаружив упоминание книжки в блоге Брюса Шнейера), то посчитал бы время потерянным бездарно... Хорошо хоть опечатки первого издания оказались исправлены и исходниками на Perl действительно можно пользоваться...|[-8.381684  -9.130498  -8.879588  ... -8.480372  -4.2474947 -7.5691223]|3
18|Скучно и неувлекательно. Не трогает .|"[-10.6092825  -9.588706   -8.654079  ...  -9.206432   -4.9380026
  -4.464932 ]"|3
19|Анаис Нин статус не позволял не быть творческой личностью. Видимо рисовать она не могла - и поэтому писала. Не ужас-ужас, но достоинства сомнительные.|[-8.532168  -9.190968  -9.24009   ... -8.875565  -5.648065  -5.1587863]|3
20|Глупая пародия на Толкина! Читать скучно и неинтересно! Валары становятся плохими, Саруман - хорошим...бред!|[-8.160336  -8.488038  -7.4735966 ... -8.94738   -4.475135  -7.4254303]|3
21|Слишком много калек из 99 франков Бегбедера, да и понятно все становится странице на 20. А так, совершенно непримечательное чтиво, не цепляет|[-7.5129523 -8.683398  -8.654945  ... -6.7706075 -4.834561  -6.0985894]|3
22|Можно полистать, как журнал, отличная полиграфия, но читать нечего.|[-8.484988  -8.360182  -7.061133  ... -7.8830233 -2.280297  -7.06253  ]|3
23|"произведения маркиза де сада вообще являют собой не яростное утверждение ""садо-мазохистического атеизма"",а,по моему сугубо-субъективному мнению,поиски опровержения явных законов взаимопожирания. в частности по этой причине я не позволяю невежественным критикам оспаривать права на существование этих произведений."|[-8.0763235 -9.130515  -8.137209  ... -6.445832  -6.7180495 -7.048404 ]|3
24|"автор,изобличая в себе заядлого репортера,смешал правду с неправдой и дешевые трюки ""детективного жанра"" с попсой в религии. диковинная смесь,но если Вы не знакомы с материалом и не против пресловутого ""детективного жанра"", то скорее всего Вам понравиться."|[-6.4248953 -7.1435146 -7.1245785 ... -6.168056  -2.999603  -5.7685885]|3
25|"Читается легко, но сюжет стремный: ангел с элементами черта (девочка),и черт с задатками ангела(мальчик) должны помочь душе мертвой женщины(которая не занималась воспитанием собственного ребенка, но теперь ужасно переживает как он там без неё, с отцом алкоголиком, один остался)попасть в рай. Отец - безответственный алкоголик, убивший свою жену. Сын - инфантильный неврастеник, мечтающий убить отца. О матере было выше. И все они должны, в перспективе исправиться, и попасть в рай. Бред. А черт и ангел, влюбившись друг в друга, являются основоположниками чертовски-ангельского, или ангельски-чертовского слияния рая и ада ( ""одну работу делаем - людям помогаем...""). Полный бред. На середине хотел выкинуть, но любопытство в отношении развития идей автора победило - выкинул, когда прочитал."|[-7.6574397 -9.186259  -8.895473  ... -7.9546843 -3.6707242 -7.183138 ]|3
26|Зюскинд - мастер. Язык, стиль, сюжет, интрига - все на высоте. Но роман читать неприятно поскольку невероятно отвратителен главный герой. Зачем писать книгу, вызывающую отвращение и негативные эмоции при чтении?|[-8.017802  -8.601277  -8.603044  ... -9.003035  -2.7670858 -5.126099 ]|3
27|Сюжета как такового нет. Конфликта нет. От того, что бравый солдат превратил сказочных персонажей в алкоголиков, смешно не становится (хотя позиционируется как юмористическое произведение). Штатный рецензент, правда, нашел в книге глубокий скрытый смысл... Но читателям искать не стоит. Никакого смысла там нет. Есть писательская бездарность и желание срубить бабок.|[-8.331647 -8.998431 -8.924277 ... -8.79877  -4.958487 -5.476963]|3
28|"Был очень разочарован данной книгой. Такое ощущение что ""Правила подводной охоты"" и ""Жесткий страрт"" писали разные люди. Плоский, невыразительный язык. Картонные герои. Совершенно не понравилось."|[-7.6822157 -9.015247  -8.938243  ... -6.9530277 -6.010742  -6.4075394]|3
29|"Да! Я сделал это! Я дочитал, я смог! Плохо, что гордиться нечем, скорее надо пожалеть о тех непрочитанных хороших книгах и несделанных полезных делах, время на которые сожрал Быковский фолиант. Мой диагноз: Быков - графоман. В хорошем смысле этого слова, если такой есть. Он - ""мастер слова"", а возможно даже и мастер предложения, но вот произведение из этих слов и предложений вышло длинное и несуразное. До этого я осилил только ""Эвакуатора"", со страниц которого автор донёс до меня своё, как теперь ясно, пардон, онтологическое ощущение того, что мир вокруг него рушится, силы его солипсизма хватает лишь на поддержание ближайших к нему окрестностей, а всё что дальше не просто не существует, а окутано дымом перманентного разрушения. Ну а поскольку автор проживает сейчас в США, то он дымом разрушения окутал свою бывшую родину и родину историческую. Образы, привидевшиеся автору в этом дыму, он и описал в книжке ""ЖД"". Первая глава была настолько возмутительна своим содержанием, что если бы автор сохранил темп и направление до конца, то писал бы я сразу по сути - о евреях (автор хитро нашёл великолепный эвфемизм этому почти табуированному слову - ""хазары"", ведь текст, в котором бы многие сотни раз повторялось бы ""еврей"", ""еврейский"", ""Израиль"" невыносимо тяжёл, тому для меня недавнее подтверждение - сборник статей о.Кураева ""Как делают антисемитом""). Однако автор (еврей, этого никак не стоит забывать), в первой главе крепко накостыляв общности тех, кого он называет варяги, а обычные люди назвали бы Российской армией, государством, РПЦ, в дальнейших старается поддерживать баланс и отвешивает меткие оплеухи и ""хазарам"" и ""варягам"" (евреям и русским). Посетовать на незаслуженность так сказать ""критики"" я не могу, но меня не покинуло ощущение, что ""варягам"" досталось не в пример круче. Вроде как, у евреев не было возможности развернуться и наделать делов, за которые их можно смешивать с грязью, разве что арабов треплют, но это типа простительно. Не соблюл автор баланса, а в этот момент стоит вспомнить о его национальности и задуматься, что ж это он себе позволяет, сидя в явно в не ""бесприютном"" Арканзасе?"|[-6.7242956 -9.540041  -8.940724  ... -6.276035  -4.2366347 -7.352282 ]|3
30|ужасная нудятина, пустая, как коробка от кильки в томатном соусе|[-8.229578  -9.325833  -8.006631  ... -6.574759  -5.2477355 -8.86113  ]|3
31|"Можно искренне посочувствовать родителям девочек-подростков, в чьи руки попадёт эта книжка. С другой стороны, не на них ли она и рассчитана? Тогда зачем столько мата и грязи? Мне не понравилось, я не понял, зачем написано, какова, собственно, ""мораль"" и ""месидж"". Повествование основано на диалогах главных героинь, естественных как юмор ""Comedy Club"". То есть, и с литературной, и с идеологической точки зрения, ценность невелика. Однако больше всего зацепило мужененавистничество, которое, возможно, объяснимо сексуальной ориентацией автора. В книге нет положительных героев мужского пола, лишь садисты и пентюхи. Не измазаны лишь мертвецы и дети. Вроде как мужчина терпим только ребёнком или трупом."|[-8.07868   -8.94937   -9.007668  ... -8.626219  -4.285784  -6.2752547]|3
32|Тягомо-о-о-тина-а-а-а! Скукот-и-и-и-щ-а-а!|[-8.847189  -7.63926   -8.372455  ... -8.50536   -7.4297733 -8.757088 ]|3
33|"Лучше не читать! Одри Хепберн, оказывается, играла обычную проститутку! ""11 мужчин, не считая тех, что были до 13 лет..."" И эта ""девушка"" прекрасна и наивна?!!"|"[ -7.9764714  -9.138045   -8.877784  ... -10.135053   -4.82339
  -7.4247637]"|3
34|"В рассказе приведено несколько примеров несчастных случаев, произошедших с мальчиками-подростками в то время, как они ананировали нетрадиционными способами. Видимо, автор так обыграл тему: ""Прежде чем что-то делать, подумай, чем это может закончиться"". Читать достаточно противно (ИМХО). Людям с ярким воображением категорически не рекомендую. Люди с медицинским образованием перенесут прочтение достаточно спокойно, но удовольствия не получат. На работников ""Скорой помощи"", скорее всего, рассказ вообще впечатления не произведёт."|[-6.7420397 -7.573275  -7.5603213 ... -8.514806  -2.9679987 -6.9279275]|3
35|- В жизни, как в плохой книге, важны только начало и конец, - цитата из этой книги. То-то я прочитала только первые две и последние две страницы...|[-8.461108  -9.023038  -8.057803  ... -8.875852  -2.3563142 -6.280439 ]|3
36|Мрачный , неинтересный сюжет. Где платовский юмор?|[-8.802439 -8.538381 -8.468886 ... -9.184826 -8.206497 -7.822365]|3
37|Слишком предсказуем сюжет.|"[ -9.321759  -10.4677105  -8.074047  ...  -6.9831343  -2.5120485
  -5.943573 ]"|3
38|Захватывает композиция, которя заставляет быть в постоянном напряжении. сам сюжет открывается на последних страницах, поэтому книга пролетает незаметно, мгоновенно..По-моему вся философия которую внес автор прошла мимо меня. Мне даже показалось, что её совсем не было или она была размазана по всей книге..Я не люблю незаконченных книг, а это одна из них..|[-8.342758  -9.755857  -9.469664  ... -8.950855  -5.5205417 -6.9069834]|3
39|Удивительно, но сколько не читала и перечитывала его книги ни одна не отпечатывается в моем мозгу Безусловно пишет хорошо интересно, но..тяжело. Единственная (почти) книга в домашней библиотеке, которую я читаю, когда нечем заняться.|[-7.7842183 -8.625726  -8.883977  ... -7.8422084 -2.8384743 -4.993262 ]|3
40|Мусорная книга, совсем не согласна с рецензией. Где там психологическая обнаженность? Вот на это и купилась..жаль потраченного времени|[-7.576956  -8.867258  -9.004285  ... -9.415506  -5.4807534 -7.4723964]|3
41|А вот мне совсем не понравилось, после этой книги вообще ничего не хотела читать из их творчества. Хорошо, что не сдержала своего обещания))|[-8.367615  -9.344276  -8.665469  ... -9.059628  -3.7502153 -7.3467517]|3
42|"Дететив и этим все сказано, прочитала практически всю книгу, а кроме диалогов типа: ""А он мне, А я ему, А тебе-то что"" не увидела...Скучно, паршиво, не интересно"|[-7.355407  -8.696274  -8.053624  ... -8.309472  -5.0692396 -5.490529 ]|3
43|Как автор-новатор он молодец, но сама книга не понравилась|[-7.35921   -8.788     -7.1908236 ... -5.9222646 -4.9432254 -4.71515  ]|3
44|Не понравилось совершенно. Вообще во всех произведениях Татьяны Толстой есть что-то такое, что оставляет на душе какое-то неприятное впечатление, словно вместо литературного произведения подсунули дешевую бульварную литературу. Такое ощущение, будто автор не уважает своих читателей.|[-8.374926  -8.83349   -8.08055   ... -9.429669  -3.4737818 -5.4772606]|3
45|начал читать с интересом, ряд промелькнувших мыслей даже совпал с моими собственными, и по всей видимости на этом автор просто иссяк. через 20 страниц последовала попытка оживить сюжет детективной ноткой(причем абсолютно предсказуемой), а затем последовали 200 страниц нуднейшего занудства с претензией на философичность. ИМХО прочитать по диагонали, чтобы иметь представление.|[-6.579266  -7.7049446 -7.7698298 ... -7.607202  -2.901809  -6.6497836]|3
46|"однажды я сказала себе, что Паланика больше читать не буду. Но как говорят не зарекайся. Прочитала на форуме,что это стоящая книга и...да, решила прочитать. осталась не в восторге, хотя как в общем и всегда нашла кое-что полезное: корочь есть одна гипотеза о новой болезни, называется сексоголизм, когда постоянно хочется и надо. Это связано с тем, что секс-зависимые люди подсаживаются на гармоны, которые вырабатываются в организме под действием постоянного секса. При оргазме в гипотоламической области головного мозга вырабатываются эндорфины, белковые гормоны, которые снимают боль и денйствуют как естественные транквилизаторы. На самом деле сексоголикам нужен не секс- им нужны эндорфины. им нужен пептид фенилэтиламин, который вырабатывается в моменты опасности, страстной влюбленности, риска и страха.. вопрос, на сколько этому можно верить? и опять, видимо через все его творчество проходит тема скучного, песиимистического мира: ""люди стараются превратить мир в безопасное, организованное место. Но никто не понимает, как здесь тоскливо и скучно, когда весь мир уопрядочен, поделен на квадратики, когда скорость движения везде ограничена и все делают то, что положено. когда каждый проверен, зарегестрировани и одобрен. в мире уже не осталось места для настоящего приключения и истинного волнения. разве что для такого, которое можно купит за деньги. на американских гонках или в кино. но это волнение все равно искуственное. вы заранее знаете, что конец будет счастливым в мире не соталось места для настоящего бедствия риска, а значит и для спасения, восторгов, радостей, для истинного неподдельного возбуждения, новых открытий, новых изобретений"" ""Законы дают нам относительную безопасность, но и они же обрекают нас к скуке. Без доступа к хаосу, не может быть порядка"" Блин, эту тему можно запросто перепечатывать из книги. Там верно каждое слово. Ну согласись, что наша жизнь действительно уже похожа на исправительный лагерь, чистый и безопасный. Мы действительно растим поколение рабов. Детей, которые ничего не умеют и их ничему полезному не учат. ни в школе ни в институте. они выходят в мир беспомощными и элементарно не знают как реагировать в экстранных ситуациях"|"[ -7.218726  -10.292678   -9.849828  ...  -6.5527053  -4.504513
  -8.415115 ]"|3
47|Убого. Это не Литература, это фэнтези в наихудшем понимании этого слова.|"[ -9.867075  -10.803412   -9.670137  ...  -8.007142   -2.4223537
  -6.2432947]"|3
48|"То ли я далёк от специфики военной фантастики, то ли ""недорос"". Я вообще не знаю, как можно читать этот бред. Написано убого, герои шаблонные. И, главное, людям-то вроде как нравится. Грустно."|[-9.416343 -9.870627 -9.790751 ... -8.564005 -5.591088 -7.858384]|3
49|там еще и шахматная задача неправильно решена.|[-8.22541   -9.485861  -8.975908  ... -8.437963  -3.3739128 -7.27355  ]|3
50|"Прочитала половину. Не осилила! Старалась честно, но, воспитывая ребенка, имеешь в арсенале не так много свободного времени, чтобы тратить его на ""галочку"" в списке прочитанных ""нетленок""... А может, я ещё не доросла..."|"[ -9.255326  -10.715871  -10.461673  ...  -9.074424   -6.5811167
  -7.418722 ]"|3
51|"Мне, имеющему высшее физическое образование, при прочтении подобного бреда становилось крайне тоскливо. Автор где-то услышал про Большой взрыв, взял свое представление о нем (с наукой ничего общего не имеющего), напялил его на детективный сюжет, добавил немного мистики и истории и получил ""бестселлер"". Вообще я Брауна читал в обратном порядке: Код да Винчи, Точка обмана, Ангелы и демоны. Общий вывод таков: автор умеет писать хороший ширпотреб, но не разбирается глубоко в сути того, о чем пишет и разнообразием приемов не блещет. Во второй (по порядку прочтения) книге были все те-же приемы. А в третьей я практически знал что будет происходить и как это будет обставляться автором. Читать его больше не буду и рекомендовать друзьям тоже. Хотел было почитать Цифровую крепость, но мне сказали, что как программисту, мне без истерики подобное читать будет невозможно :)"|[-7.799429  -9.14745   -9.4320135 ... -7.913508  -3.7865171 -7.709697 ]|3
52|"Вообще тупо. Но если надо настроить себя на состояние ""а я без мозгов"" - подходит. Так что: использовать при необходимости."|[-7.4766254 -9.374866  -8.660389  ... -8.140386  -2.0730917 -7.652651 ]|3
53|"Начитавшись многочисленных од и похвал ""на зубную фею"" в интернете, я купила книгу и начала читать. Ну вот кто мне скажите пишет про то что она просто супер? Или все как попугаи копируют рецензии предшевственников лишь чуть изменяя слова? Книга просто полная лажа, еле дочитала. Вот Вы мне скажите ее в каком возрасте читать? В 12, когда сказки еще как-то катят (и то не у всех) читать про фею-толи гермафродита, толи трансвестита, да еще и с маленьким маотчиком....это уже простите педофилией попахивает. Книга очень разочаровал и соответственно не оправдала потраченных на нее 400 рубликов. Люди прежде чем ее покупать откройте посередине и почитайте выборочно несколько страниц, ИМХО это гадость все-же для извращенных умов."|[-5.994367  -8.175493  -7.9939647 ... -8.4286375 -2.9755907 -7.9087987]|3
54|мерзкая книжонка!м на сквозь пропитанная эгоцентризмом. самолюбованием! надеюсь другие произведения этого автора лучше буду!|[-7.1789956 -8.539705  -7.241112  ... -7.003652  -4.438701  -6.1027865]|3
55|Или хирургия, или богословие. Попытка совместить не удалась. От этого автора ожидала большего.|[-8.184092 -8.4763   -8.709589 ... -6.740957 -5.04856  -7.804363]|3
56|Я очень люблю творчество Паланика, но эта книга - это не произведение это набор рассказов. Впервые я не смогла книгу этого автора дочитать до конца, думаю ему не стоило эти зарисовки издавать как отдельный подукт. Но это, собственно говоря, только мое мнение|[-8.107815 -8.937904 -8.670326 ... -9.769215 -5.344137 -6.286506]|3
57|Мне не понравилось. Язык - псевдосказочный, вязкий. Не читаешь, а пробираешься через бурьян. Нужно много терпения, чтобы понять, что хотел сказать автор. Видимо, в этом больше самолюбования автора, чем литературы и желания донести что-то до читателя.|[-8.316458 -8.752647 -8.726406 ... -8.436077 -5.513235 -6.256309]|3
58|Такую книжку только на ночь читать. Чтоб быстрее уснуть. Далеко не Хокинг... Ниасилил.|[-7.213399 -8.232053 -7.807935 ... -7.554541 -4.416435 -6.345295]|3
59|"Пособие для ""представителей канадских компаний"""|"[-10.080013   -9.686698   -9.347273  ...  -8.634318   -4.2954526
  -8.917618 ]"|3
60|"Автор страдает жесткими формами извращений. Идея созданий ""идеального общества"" для ""не таких как все"" не нова. Форма подачи не слишком плоха. Но автор определенно маньяк. Такую плотность сексуальных и моральных извращений на страницу как в этом поизведении я еще не встречала. Интересно, что стимулировало вдохновение автора при описании пыток..."|[-6.919203  -8.169051  -8.20017   ... -7.1836658 -2.949333  -5.702595 ]|3
61|Удивительное произведение... Перечитал три раза, пока не понял, почему оно мне показалось таким пустым: Птица, на самом делее, стремится к абсолютному идеальному одиночеству обернув свое желание в сверкающие покровы.|"[ -8.412405  -10.537071   -9.4452095 ...  -6.7746596  -4.803516
  -6.958392 ]"|3
62|"Книга-чушь, как и все, что пишет этот человек. Мне с пеной у рта советовали почитать его книги - ""глубокие философские произведения"" - глубины никакой. Мысль есть, но, одним словом, - попс."|[-7.5446324 -9.259289  -8.41475   ... -7.284641  -5.608477  -6.846907 ]|3
63|Слишком популярно. Много цитат но мало интересных идей и фактов.|"[ -9.95074   -11.6996765 -10.33677   ...  -7.5806336  -5.226247
  -4.386851 ]"|3
64|Довольно забавно читать книгу, зная что это не первая и не последняя Единственная в жизни автора :)|[-8.284083  -9.027529  -8.58598   ... -8.24644   -5.297146  -6.0059204]|3
65|Есть 2 перевода- этот и Эксмовский К оружию! К оружию! Этот - ниже плинтуса (осилил страниц 5). От эксмы - одна из любимых и периодически перечитываемых(как и вся серия про стражу).(Как и весь пратчетт):))))|[-7.2685413 -9.116917  -9.05794   ... -9.341542  -4.727699  -5.9344153]|3
66|"Одно из самых скучных и затянутых произведений. Это в полной мере относится и к другим произведениям из книги ""Древо исчезающих времен"". Весь сюжет: неизвестные агрессоры, доблестные герои, их боевые подруги, мультивселенная.... Еще автор видимо заботился о философской составляющей книги и ""понавтыкал"" различных цитат на каждую страницу. Смотрится это, мягко говоря, странно и не к месту... Однозначно фтопку."|[-8.066022  -9.048852  -9.05931   ... -8.385096  -4.329007  -5.5576177]|3
67|Язык, насколько смог его передать переводчик - очень неплох. Но вот сам сюжет настолько искусственный, что читал книгу с трудом, преодолевая колдобины и ухабы. В общем, книга ради денег. С искусно вкрапленными элементами, призванными привлечь читателей. И побольше, и побольше. Единственное, что меня заинтересовало - описания пейзажей и природы Греции. Автору натуралистом бы быть, а не писателем, претендующим на роль властителя помыслов человеческих. Для извращённых протестантов-наглосаксов эта книга может и иметь какую-либо ценность. На территории России такие экперименты просто противопоказаны человеку, который хочет жить здесь, у нас, долго и счастливо. Выбирать - вам. И просто представьте себе такую ситуацию где-либо в нашей стране. Смешно стало? То-то же. Плохая фантастика, в общем-то.|[-7.46083  -8.476693 -8.800931 ... -6.900786 -4.720845 -6.377957]|3
